Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
0,3,male,22.0,1,0,7.25,n,S
1,1,female,38.0,1,0,71.2833,C,C
1,3,female,26.0,0,0,7.925,n,S
1,1,female,35.0,1,0,53.1,C,S
0,3,male,35.0,0,0,8.05,n,S
0,3,male,28.0,0,0,8.4583,n,Q
0,1,male,54.0,0,0,51.8625,E,S
0,3,male,2.0,3,1,21.075,n,S
1,3,female,27.0,0,2,11.1333,n,S
1,2,female,14.0,1,0,30.0708,n,C
1,3,female,4.0,1,1,16.7,G,S
1,1,female,58.0,0,0,26.55,C,S
0,3,male,20.0,0,0,8.05,n,S
0,3,male,39.0,1,5,31.275,n,S
0,3,female,14.0,0,0,7.8542,n,S
1,2,female,55.0,0,0,16.0,n,S
0,3,male,2.0,4,1,29.125,n,Q
1,2,male,28.0,0,0,13.0,n,S
0,3,female,31.0,1,0,18.0,n,S
1,3,female,28.0,0,0,7.225,n,C
0,2,male,35.0,0,0,26.0,n,S
1,2,male,34.0,0,0,13.0,D,S
1,3,female,15.0,0,0,8.0292,n,Q
1,1,male,28.0,0,0,35.5,A,S
0,3,female,8.0,3,1,21.075,n,S
1,3,female,38.0,1,5,31.3875,n,S
0,3,male,28.0,0,0,7.225,n,C
0,1,male,19.0,3,2,263.0,C,S
1,3,female,28.0,0,0,7.8792,n,Q
0,3,male,28.0,0,0,7.8958,n,S
0,1,male,40.0,0,0,27.7208,n,C
1,1,female,28.0,1,0,146.5208,B,C
1,3,female,28.0,0,0,7.75,n,Q
0,2,male,66.0,0,0,10.5,n,S
0,1,male,28.0,1,0,82.1708,n,C
0,1,male,42.0,1,0,52.0,n,S
1,3,male,28.0,0,0,7.2292,n,C
0,3,male,21.0,0,0,8.05,n,S
0,3,female,18.0,2,0,18.0,n,S
1,3,female,14.0,1,0,11.2417,n,C
0,3,female,40.0,1,0,9.475,n,S
0,2,female,27.0,1,0,21.0,n,S
0,3,male,28.0,0,0,7.8958,n,C
1,2,female,3.0,1,2,41.5792,n,C
1,3,female,19.0,0,0,7.8792,n,Q
0,3,male,28.0,0,0,8.05,n,S
0,3,male,28.0,1,0,15.5,n,Q
1,3,female,28.0,0,0,7.75,n,Q
0,3,male,28.0,2,0,21.6792,n,C
0,3,female,18.0,1,0,17.8,n,S
0,3,male,7.0,4,1,39.6875,n,S
0,3,male,21.0,0,0,7.8,n,S
1,1,female,49.0,1,0,76.7292,D,C
1,2,female,29.0,1,0,26.0,n,S
0,1,male,65.0,0,1,61.9792,B,C
1,1,male,28.0,0,0,35.5,C,S
1,2,female,21.0,0,0,10.5,n,S
0,3,male,28.5,0,0,7.2292,n,C
1,2,female,5.0,1,2,27.75,n,S
0,3,male,11.0,5,2,46.9,n,S
0,3,male,22.0,0,0,7.2292,n,C
1,1,female,38.0,0,0,80.0,B,S
0,1,male,45.0,1,0,83.475,C,S
0,3,male,4.0,3,2,27.9,n,S
0,1,male,28.0,0,0,27.7208,n,C
1,3,male,28.0,1,1,15.2458,n,C
1,2,female,29.0,0,0,10.5,F,S
0,3,male,19.0,0,0,8.1583,n,S
1,3,female,17.0,4,2,7.925,n,S
0,3,male,26.0,2,0,8.6625,n,S
0,2,male,32.0,0,0,10.5,n,S
0,3,female,16.0,5,2,46.9,n,S
0,2,male,21.0,0,0,73.5,n,S
