Emp ID,Job Title,Date of Join
AC0001,Chocolatier,2020-06-12 00:00:00
AC0002,Production Operator,2021-02-18 00:00:00
AC0003,Packaging Associate,2022-09-05 00:00:00
AC0004,Marketing Specialist,2019-11-20 00:00:00
AC0005,Research Scientist,2018-04-08 00:00:00
AC0006,Sales Representative,2023-03-14 00:00:00
AC0007,Production Operator,2022-01-02 00:00:00
AC0008,Quality Control,2020-07-19 00:00:00
AC0009,Research Analyst,2021-11-10 00:00:00
AC0010,Product Manager,2019-06-25 00:00:00
AC0011,Packaging Associate,2022-08-04 00:00:00
AC0012,Production Operator,2020-02-17 00:00:00
AC0013,Chocolatier,2021-10-30 00:00:00
AC0014,Marketing Manager,2018-09-12 00:00:00
AC0015,Research Analyst,2019-03-05 00:00:00
AC0016,Packaging Associate,2022-05-21 00:00:00
AC0017,Quality Control,2021-08-08 00:00:00
AC0018,Sales Representative,2020-11-23 00:00:00
AC0019,Product Manager,2017-07-15 00:00:00
AC0020,Production Operator,2022-03-30 00:00:00
AC0021,Packaging Associate,2019-09-04 00:00:00
AC0022,Research Scientist,2018-06-19 00:00:00
AC0023,Marketing Specialist,2021-01-07 00:00:00
AC0024,Sales Representative,2020-08-25 00:00:00
AC0025,Packaging Associate,2023-02-12 00:00:00
AC0026,Quality Control,2022-11-01 00:00:00
AC0027,Research Analyst,2019-04-16 00:00:00
AC0028,Product Manager,2018-10-09 00:00:00
AC0029,Production Operator,2023-05-26 00:00:00
AC0030,Packaging Associate,2020-01-13 00:00:00
AC0031,Marketing Manager,2018-07-27 00:00:00
AC0032,Research Analyst,2019-03-14 00:00:00
AC0033,Packaging Associate,2022-09-28 00:00:00
AC0034,Quality Control,2021-04-11 00:00:00
AC0035,Sales Representative,2020-01-26 00:00:00
AC0036,Product Manager,2017-08-03 00:00:00
AC0037,Production Operator,2023-03-19 00:00:00
AC0038,Packaging Associate,2022-10-15 00:00:00
AC0039,Chocolatier,2019-06-10 00:00:00
AC0040,Marketing Specialist,2018-05-03 00:00:00
AC0041,Research Scientist,2021-09-29 00:00:00
AC0042,Sales Representative,2020-02-14 00:00:00
AC0043,Quality Control,2023-01-01 00:00:00
AC0044,Packaging Associate,2022-11-25 00:00:00
AC0045,Production Operator,2020-04-09 00:00:00
AC0046,Chocolatier,2021-10-31 00:00:00
AC0047,Marketing Manager,2018-08-14 00:00:00
AC0048,Research Analyst,2019-03-27 00:00:00
AC0049,Packaging Associate,2022-07-12 00:00:00
AC0050,Quality Control,2021-04-25 00:00:00
AC0051,Sales Representative,2020-09-08 00:00:00
AC0052,Product Manager,2017-04-23 00:00:00
AC0053,Production Operator,2023-02-14 00:00:00
AC0054,Packaging Associate,2022-12-31 00:00:00
AC0055,Chocolatier,2019-06-15 00:00:00
AC0056,Marketing Specialist,2018-10-28 00:00:00
AC0057,Research Scientist,2021-12-13 00:00:00
AC0058,Sales Representative,2020-07-26 00:00:00
AC0059,Quality Control,2023-06-22 00:00:00
