,SaleID,Month,SalesAmount,Region
0,2019-001,Jan,37296,North
1,2019-002,Feb,48024,South
2,2019-003,Mar,44628,South
3,2019-004,Apr,36717,North
4,2019-005,May,68698,West
5,2019-006,Jun,32082,North
6,2019-007,Jul,36140,South
7,2019-008,Aug,45247,North
8,2019-009,Sep,66781,South
9,2019-010,Oct,65713,West
0,2020-001,Jan,44446,West
1,2020-002,Feb,68618,East
2,2020-003,Mar,30425,South
3,2020-004,Apr,57696,East
4,2020-005,May,48210,South
5,2020-006,Jun,44110,East
6,2020-007,Jul,36698,North
7,2020-008,Aug,54898,North
8,2020-009,Sep,53526,East
9,2020-010,Oct,69565,East
0,2021-001,Jan,32847,West
1,2021-002,Feb,65142,North
2,2021-003,Mar,54807,North
3,2021-004,Apr,66178,East
4,2021-005,May,53700,South
5,2021-006,Jun,34558,North
6,2021-007,Jul,44935,East
7,2021-008,Aug,35229,South
8,2021-009,Sep,36619,West
9,2021-010,Oct,48217,West
